COLUMN_NAME                                                                                                                     |DATA_TYPE                                                                                                                       |CHARACTER_MAXIMUM_LENGTH
--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------|------------------------
IdHCIngreso                                                                                                                     |int                                                                                                                             |                    NULL
NumeroVisita                                                                                                                    |int                                                                                                                             |                    NULL
Fecha                                                                                                                           |datetime                                                                                                                        |                    NULL
IdSector                                                                                                                        |char                                                                                                                            |                       4
IdProfecional                                                                                                                   |int                                                                                                                             |                    NULL
MotivoConsulta                                                                                                                  |varchar                                                                                                                         |                     500
EnfermedadActual                                                                                                                |varchar                                                                                                                         |                    8000
ModMedica                                                                                                                       |varchar                                                                                                                         |                     255
Semiologia                                                                                                                      |varchar                                                                                                                         |                     255
SV_GLUCEMIA                                                                                                                     |varchar                                                                                                                         |                      40
SV_PA                                                                                                                           |varchar                                                                                                                         |                      40
SV_FC                                                                                                                           |varchar                                                                                                                         |                      40
SV_FR                                                                                                                           |varchar                                                                                                                         |                      40
SV_TAX                                                                                                                          |varchar                                                                                                                         |                      40
SV_IMPRESIONGENERAL                                                                                                             |varchar                                                                                                                         |                     200
SV_FACIE                                                                                                                        |varchar                                                                                                                         |                     100
SV_DECUBITO                                                                                                                     |varchar                                                                                                                         |                     100
SV_MARCHA                                                                                                                       |varchar                                                                                                                         |                     100
SV_TALLA                                                                                                                        |varchar                                                                                                                         |                      40
SV_PESOACTUAL                                                                                                                   |varchar                                                                                                                         |                      40
SV_PESOHABITUAL                                                                                                                 |varchar                                                                                                                         |                      40
SV_ESTADONUTRICIONAL                                                                                                            |varchar                                                                                                                         |                     100
PF_COLORACION                                                                                                                   |varchar                                                                                                                         |                     100
PF_HUMEDAD                                                                                                                      |varchar                                                                                                                         |                     100
PF_TEMPERATURA                                                                                                                  |varchar                                                                                                                         |                     100
PF_DISTRIBUCIONPILOSA                                                                                                           |varchar                                                                                                                         |                     100
PF_ELASTICIDAD                                                                                                                  |varchar                                                                                                                         |                     100
PF_UNIAS                                                                                                                        |varchar                                                                                                                         |                     100
PF_CICATRICES                                                                                                                   |varchar                                                                                                                         |                    1000
PF_TEXTO                                                                                                                        |varchar                                                                                                                         |                    5000
TCS_DISTRIBUCION                                                                                                                |varchar                                                                                                                         |                     100
